shops,ratings,userids
coffee-club-singapore-5,5.0,2043
gong-cha-royal-cafe-singapore,4.0,1075
gong-cha-royal-cafe-singapore,4.0,2043
westin-lobby-lounge-singapore,5.0,293
westin-lobby-lounge-singapore,5.0,18
westin-lobby-lounge-singapore,5.0,2149
westin-lobby-lounge-singapore,5.0,1057
westin-lobby-lounge-singapore,5.0,2543
westin-lobby-lounge-singapore,5.0,2043
mollys-singapore,3.0,1882
mollys-singapore,3.0,2043
arteastiq-singapore,4.0,2141
arteastiq-singapore,4.0,2493
arteastiq-singapore,4.0,18
arteastiq-singapore,4.0,1237
arteastiq-singapore,4.0,666
arteastiq-singapore,4.0,2454
arteastiq-singapore,4.0,1438
arteastiq-singapore,4.0,1505
arteastiq-singapore,4.0,186
arteastiq-singapore,4.0,1412
arteastiq-singapore,4.0,758
arteastiq-singapore,4.0,2377
arteastiq-singapore,4.0,1553
arteastiq-singapore,4.0,1926
arteastiq-singapore,4.0,2043
apiary-singapore,5.0,822
apiary-singapore,5.0,306
apiary-singapore,5.0,988
apiary-singapore,5.0,362
apiary-singapore,5.0,10
apiary-singapore,5.0,1559
apiary-singapore,5.0,230
apiary-singapore,5.0,2331
apiary-singapore,5.0,721
apiary-singapore,5.0,1604
apiary-singapore,5.0,2043
five-foot-way-coffee-and-juice-bar-singapore,3.0,91
five-foot-way-coffee-and-juice-bar-singapore,3.0,2043
ps-cafe-singapore-8,4.0,1559
ps-cafe-singapore-8,4.0,1530
ps-cafe-singapore-8,4.0,21
ps-cafe-singapore-8,4.0,665
ps-cafe-singapore-8,4.0,2120
ps-cafe-singapore-8,4.0,2220
